AXJO	AUD
0.00821918	0.035712
0.0849315	0.035758
0.249315	0.034335
0.49589	0.030143
0.747945	0.0287243
1.00548	0.02729
1.49589	0.0260972
2.00274	0.024911
3	0.024439
4.00274	0.024786
5.00274	0.025526
6.00274	0.026435
7.00822	0.027407
8.00548	0.028401
9.00548	0.029386
10.0055	0.030366
12.0137	0.032306
15.0082	0.035159
20.0137	0.0384592
25.0164	0.0404444
30.0219	0.04177
40.0329	0.0434294
HSI	HKD
0.00821918	0.002358
0.0849315	0.002358
0.249315	0.002358
0.49589	0.002341
0.747945	0.002315
1.00548	0.002288
1.49589	0.0022694
2.00274	0.002251
3	0.002382
4.00274	0.002697
5.00274	0.003208
6.00274	0.003881
7.00822	0.00465
8.00548	0.005438
9.00548	0.006162
10.0055	0.006794
12.0137	0.007735
15.0082	0.00839
20.0137	0.0088486
25.0164	0.0091239
30.0219	0.0093075
40.0329	0.009537
N225	JPY
0.00821918	0.000793
0.0849315	0.000813
0.249315	0.001019
0.49589	0.001059
0.747945	0.0010103
1.00548	0.000961
1.49589	0.0009445
2.00274	0.000928
3	0.000999
4.00274	0.001353
5.00274	0.002024
6.00274	0.002969
7.00822	0.004099
8.00548	0.00533
9.00548	0.006592
10.0055	0.00784
12.0137	0.010317
15.0082	0.013837
20.0137	0.017641
25.0164	0.019324
30.0219	0.020302
40.0329	0.0215258
SIMSCI	SGD
0.00821918	0.002778
0.0849315	0.002778
0.249315	0.002824
0.49589	0.00257
0.747945	0.002317
1.00548	0.002121
1.49589	0.0020633
2.00274	0.002006
3	0.002801
4.00274	0.004253
5.00274	0.006067
6.00274	0.008017
7.00822	0.009976
8.00548	0.011876
9.00548	0.013682
10.0055	0.015386
12.0137	0.018396
15.0082	0.021963
20.0137	0.025495
25.0164	0.0276201
30.0219	0.0290392
40.0329	0.0308159
SPTSE	CAD
0.00821918	0.009985
0.0849315	0.0093
0.249315	0.009389
0.495890	0.01003
0.747945	0.0103025
1.005480	0.010581
1.495890	0.0105932
2.002740	0.0106056
3	0.0113689
4.00274	0.012213
5.00274	0.0130655
6.00274	0.0140275
7.00822	0.0149895
8.00548	0.0159514
9.00548	0.0169134
10.0055	0.0176825
12.0137	0.0184034
15.0082	0.0194847
20.0137 0.0212868
25.0164	0.0230889
30.0219	0.0245739
40.0329	0.0254115
