AXJO	AUD
0.0191781	0.0951
0.0383562	0.0953
0.0575343	0.0959
0.0849315	0.0992
0.167123	0.1085
0.249315	0.1173
0.334247	0.124
0.49589	0.1319
0.747945	0.1495
1.00548	0.1562
1.49589	0.166
2.00274	0.1728
3	0.1849
4.00274	0.197
5.00274	0.2073
6.00274	0.2173
7.00822	0.2273
8.00548	0.2374
9.00548	0.2434
10.0055	0.2484
HSI	HKD
0.0191781	0.1468
0.0383562	0.147
0.0575343	0.1471
0.0849315	0.1473
0.167123	0.1606
0.249315	0.1691
0.334247	0.177
0.49589	0.1842
0.747945	0.1937
1.00548	0.2024
1.49589	0.2115
2.00274	0.2167
3	0.2244
4.00274	0.23
5.00274	0.2373
6.00274	0.2432
7.00822	0.2563
8.00548	0.267
9.00548	0.2754
10.0055	0.2841
N225	JPY
0.0191781	0.1552
0.0383562	0.1552
0.0575343	0.1583
0.0849315	0.1602
0.167123	0.1646
0.249315	0.1676
0.334247	0.1696
0.49589	0.1725
0.747945	0.177
1.00548	0.1813
1.49589	0.1839
2.00274	0.1853
3	0.1878
4.00274	0.1914
5.00274	0.1954
6.00274	0.201
7.00822	0.2077
8.00548	0.2119
9.00548	0.215
10.0055	0.2163
SIMSCI	SGD
0.0191781	0.1369
0.0383562	0.1368
0.0575343	0.1368
0.0849315	0.1367
0.167123	0.1371
0.249315	0.1379
0.334247	0.137
0.49589	0.1361
0.747945	0.1346
1.00548	0.1355
1.49589	0.138
2.00274	0.1397
3	0.1439
4.00274	0.1491
5.00274	0.1533
6.00274	0.1573
7.00822	0.1597
8.00548	0.1621
9.00548	0.1641
10.0055	0.1657
SPTSE	CAD
0.0191781	0.1156
0.0383562	0.1161
0.0575343	0.1166
0.0849315	0.1289
0.167123	0.1433
0.249315	0.1503
0.334247	0.1577
0.49589	0.1653
0.747945	0.1738
1.00548	0.1829
1.49589	0.1957
2.00274	0.2046
3	0.2216
4.00274	0.2335
5.00274	0.2453
6.00274	0.2572
7.00822	0.2675
8.00548	0.2696
9.00548	0.2696
10.0055	0.2696
